Size ,CUDA Global Time ,CUDA Shared Time ,CPU Time    ,cuBLAS Time
   2 ,4e-05            ,3e-05            ,0.0         ,7e-05
   4 ,0.00023          ,0.00029          ,0.0         ,0.00026
   8 ,0.0004           ,3e-05            ,2e-05       ,0.00231
  16 ,4e-05            ,3e-05            ,8e-05       ,6e-05
  32 ,0.00238          ,0.00242          ,0.00061     ,0.00246
  64 ,6e-05            ,6e-05            ,0.00499     ,8e-05
 128 ,0.00247          ,0.00243          ,0.03948     ,0.0024
 512 ,0.01254          ,0.00775          ,4.66555     ,0.0057
1024 ,0.07124          ,0.03104          ,39.03473    ,0.02102
2048 ,0.38391          ,0.26238          ,933.78505   ,0.09565
4096 ,2.99917          ,1.80441          ,7302.80553  ,0.44684
8192 ,6.27377          ,2e-05            ,65140.40479 ,2.19959
